A,BDX,-0.029338044708288186
A,HOLX,-0.077150938245558243
A,HPQ,-0.012352976286437483
A,IBM,-0.063261831958736039
A,MSFT,-0.085581809497252331
A,TMO,-0.038478151253686234
AAPL,HPQ,-0.11648017727132148
AAPL,IBM,-0.15310381222995559
AAPL,INTC,-0.2292471109727619
AAPL,MSFT,-0.1759232697757783
AAPL,ORCL,-0.17210043897325883
AAPL,XRX,-0.026279506478391963
ACN,AXP,0.079356574806054764
ACN,FISV,0.11733481418289329
ACN,HON,0.087569329221908715
ACN,IBM,0.070754687282635939
ACN,MA,0.081443484206866049
ACN,NCR,0.1214165752952221
ACN,PAY,0.12828810720884665
AGN,ABT,-0.081588678469495288
AGN,COO,-0.13820506636241611
AGN,JNJ,-0.15479165388662683
AGN,PFE,-0.19504241206774403
AGN,PG,-0.17910412847714313
AMAT,IBM,-0.11480372995279239
AMAT,INTC,-0.18863988876289464
AMAT,MU,0.072498907236632604
AMAT,TXN,-0.074623063607995865
AMD,AMAT,-0.13061938166348694
AMD,IBM,-0.25211788387280415
AMD,INTC,-0.33468606946109136
AMD,MU,-0.063554983738136964
AMD,TXN,-0.21575733783388246
AMD,XLNX,-0.26783577076723308
AMZN,HPQ,0.0015890031110559061
AMZN,IBM,-0.041507730362515434
AMZN,MSFT,-0.065526492650654605
AMZN,ORCL,-0.073319075484357482
AMZN,XRX,0.088149758786423338
AMZN,YHOO,0.0040656426626805931
ARNC,BA,-0.10419766942750698
ARNC,BDX,-0.15111304950764542
ARNC,BLL,-0.28992931695018115
ARNC,F,-0.26545900377065357
ARNC,GM,-0.25531734395002181
ARNC,OI,-0.19098345068571626
AVGO,HPQ,-0.15937697929351738
AVGO,IBM,-0.20150930039216824
AVGO,INTC,-0.26434922988432391
AVGO,ORCL,-0.22008896329021974
AVGO,SNPS,-0.076182624323016077
AVGO,TER,-0.10259437760314417
AVGO,XLNX,-0.20074103871834198
AVY,HON,-0.027879934176891403
AVY,IBM,-0.07570397484017051
AVY,KMB,0.05990450454175518
AVY,MMM,-0.037030466379681125
AXP,C,-0.043905322527242385
AXP,FDC,-0.2
AXP,HPQ,0.030520713951137961
AXP,IBM,-0.0074922631857347087
AXP,JPM,0.0051039601315800822
AXP,MA,-0.0017041232595935852
AXP,MSFT,-0.035335395181416165
AXP,ORCL,-0.021697484693069743
AXP,PAY,0.034407931145689963
AXP,PYPL,-0.2
AXP,WU,-0.17031115384381595